,time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
22,2014-01-23T00:00:00.0000000Z,2014-01-24T00:00:00.0000000Z,2014-01-23T00:00:50.0000000Z,2014-01-23T23:59:55.0000000Z,819.2,830.88899,801.1,811.22,7406.59074291,6970
23,2014-01-24T00:00:00.0000000Z,2014-01-25T00:00:00.0000000Z,2014-01-24T00:00:03.0000000Z,2014-01-24T23:59:15.0000000Z,810.95,835.48427,767.02,780.0,15800.2116051,15923
24,2014-01-25T00:00:00.0000000Z,2014-01-26T00:00:00.0000000Z,2014-01-25T00:02:05.0000000Z,2014-01-25T23:59:22.0000000Z,780.0,830.0,773.4,806.8,8715.49365172,7516
25,2014-01-26T00:00:00.0000000Z,2014-01-27T00:00:00.0000000Z,2014-01-26T00:02:02.0000000Z,2014-01-26T23:58:55.0000000Z,806.81,840.0,795.01,814.75,9710.70699823,8959
26,2014-01-27T00:00:00.0000000Z,2014-01-28T00:00:00.0000000Z,2014-01-27T00:00:22.0000000Z,2014-01-27T23:59:42.0000000Z,814.67,840.0,725.0,751.95,25229.93583415,18379
27,2014-01-28T00:00:00.0000000Z,2014-01-29T00:00:00.0000000Z,2014-01-28T00:00:15.0000000Z,2014-01-28T23:59:44.0000000Z,750.95,830.0,740.01,788.0,20058.56978112,18306
28,2014-01-29T00:00:00.0000000Z,2014-01-30T00:00:00.0000000Z,2014-01-29T00:00:01.0000000Z,2014-01-29T23:59:52.0000000Z,785.51,826.22571,781.99,794.21,7063.44596339,10270
29,2014-01-30T00:00:00.0000000Z,2014-01-31T00:00:00.0000000Z,2014-01-30T00:00:17.0000000Z,2014-01-30T23:59:48.0000000Z,794.26,815.23135,770.7,799.99,13152.57685292,14346
30,2014-01-31T00:00:00.0000000Z,2014-02-01T00:00:00.0000000Z,2014-01-31T00:01:43.0000000Z,2014-01-31T23:59:44.0000000Z,799.99,812.63409,791.0,803.0,7741.02185224,7408
31,2014-02-01T00:00:00.0000000Z,2014-02-02T00:00:00.0000000Z,2014-02-01T00:01:05.0000000Z,2014-02-01T23:58:52.0000000Z,803.0,835.0,802.59,813.23,8302.5325046,6315
32,2014-02-02T00:00:00.0000000Z,2014-02-03T00:00:00.0000000Z,2014-02-02T00:00:29.0000000Z,2014-02-02T23:59:13.0000000Z,813.23,835.0,810.23,814.99,4082.92953155,3959
33,2014-02-03T00:00:00.0000000Z,2014-02-04T00:00:00.0000000Z,2014-02-03T00:00:38.0000000Z,2014-02-03T23:55:10.0000000Z,814.94,819.8,800.5,808.5,4939.10621416,4681
34,2014-02-04T00:00:00.0000000Z,2014-02-05T00:00:00.0000000Z,2014-02-04T00:00:04.0000000Z,2014-02-04T23:56:51.0000000Z,806.99,819.78,796.83,802.87,7603.42910161,5734
35,2014-02-05T00:00:00.0000000Z,2014-02-06T00:00:00.0000000Z,2014-02-05T00:02:02.0000000Z,2014-02-05T23:59:57.0000000Z,803.0,815.89934,775.0,782.33,8496.09016972,6721
36,2014-02-06T00:00:00.0000000Z,2014-02-07T00:00:00.0000000Z,2014-02-06T00:00:01.0000000Z,2014-02-06T23:59:54.0000000Z,802.5,803.72713,752.0,763.99,20686.19887377,15088
37,2014-02-07T00:00:00.0000000Z,2014-02-08T00:00:00.0000000Z,2014-02-07T00:00:15.0000000Z,2014-02-07T23:59:57.0000000Z,764.0,775.2051,619.0,705.01,66427.08105396,30907
38,2014-02-08T00:00:00.0000000Z,2014-02-09T00:00:00.0000000Z,2014-02-08T00:00:04.0000000Z,2014-02-08T23:59:58.0000000Z,705.01,730.0,662.01,680.49,13532.15761485,11808
39,2014-02-09T00:00:00.0000000Z,2014-02-10T00:00:00.0000000Z,2014-02-09T00:00:05.0000000Z,2014-02-09T23:57:58.0000000Z,680.49,756.0998,666.21,687.37,15100.22398163,10726
40,2014-02-10T00:00:00.0000000Z,2014-02-11T00:00:00.0000000Z,2014-02-10T00:01:37.0000000Z,2014-02-10T23:59:59.0000000Z,688.0,748.0,530.0,687.81,71890.39362065,30275
41,2014-02-11T00:00:00.0000000Z,2014-02-12T00:00:00.0000000Z,2014-02-11T00:00:05.0000000Z,2014-02-11T23:59:32.0000000Z,688.34,720.0,631.0,675.1,40095.76862586,21877
42,2014-02-12T00:00:00.0000000Z,2014-02-13T00:00:00.0000000Z,2014-02-12T00:01:47.0000000Z,2014-02-12T23:59:07.0000000Z,677.0,709.93,631.58,651.99,15529.42910876,8612
43,2014-02-13T00:00:00.0000000Z,2014-02-14T00:00:00.0000000Z,2014-02-13T00:00:15.0000000Z,2014-02-13T23:59:54.0000000Z,650.04,680.0,595.6295,604.11,28190.48984059,15500
44,2014-02-14T00:00:00.0000000Z,2014-02-15T00:00:00.0000000Z,2014-02-14T00:00:07.0000000Z,2014-02-14T23:59:09.0000000Z,609.4,712.9,538.01,669.0,68420.59532718,27687
45,2014-02-15T00:00:00.0000000Z,2014-02-16T00:00:00.0000000Z,2014-02-15T00:01:03.0000000Z,2014-02-15T23:57:46.0000000Z,670.34,682.78028,628.88,655.83,20774.82866366,11458
46,2014-02-16T00:00:00.0000000Z,2014-02-17T00:00:00.0000000Z,2014-02-16T00:00:37.0000000Z,2014-02-16T23:59:51.0000000Z,655.83,670.0,590.01,621.0,26419.0245165,12713
47,2014-02-17T00:00:00.0000000Z,2014-02-18T00:00:00.0000000Z,2014-02-17T00:00:09.0000000Z,2014-02-17T23:59:54.0000000Z,621.0,679.05833,593.67544,633.19,19938.82557944,15170
48,2014-02-18T00:00:00.0000000Z,2014-02-19T00:00:00.0000000Z,2014-02-18T00:01:24.0000000Z,2014-02-18T23:59:54.0000000Z,633.66,652.50738,609.99,627.7,14854.78467489,17451
49,2014-02-19T00:00:00.0000000Z,2014-02-20T00:00:00.0000000Z,2014-02-19T00:00:03.0000000Z,2014-02-19T23:59:52.0000000Z,627.7,640.0,602.90667,623.01,11141.48181058,11816
50,2014-02-20T00:00:00.0000000Z,2014-02-21T00:00:00.0000000Z,2014-02-20T00:00:00.0000000Z,2014-02-20T23:59:57.0000000Z,623.0,641.3624,560.9,561.86,35019.2540378,26942
51,2014-02-21T00:00:00.0000000Z,2014-02-22T00:00:00.0000000Z,2014-02-21T00:00:04.0000000Z,2014-02-21T23:59:47.0000000Z,561.86,597.05351,530.01,581.35,29638.72710445,28562
52,2014-02-22T00:00:00.0000000Z,2014-02-23T00:00:00.0000000Z,2014-02-22T00:00:18.0000000Z,2014-02-22T23:59:38.0000000Z,583.0,620.9,562.15,610.88,18089.34839918,15335
53,2014-02-23T00:00:00.0000000Z,2014-02-24T00:00:00.0000000Z,2014-02-23T00:00:13.0000000Z,2014-02-23T23:59:46.0000000Z,610.77,650.27996,599.78,610.09,20889.19506029,14670
54,2014-02-24T00:00:00.0000000Z,2014-02-25T00:00:00.0000000Z,2014-02-24T00:00:54.0000000Z,2014-02-24T23:59:54.0000000Z,609.26,629.0,514.02,535.49,51870.51015879,27187
55,2014-02-25T00:00:00.0000000Z,2014-02-26T00:00:00.0000000Z,2014-02-25T00:00:08.0000000Z,2014-02-25T23:59:56.0000000Z,535.49,568.09339,400.0,535.0,115822.13030626,39646
56,2014-02-26T00:00:00.0000000Z,2014-02-27T00:00:00.0000000Z,2014-02-26T00:00:15.0000000Z,2014-02-26T23:59:51.0000000Z,534.34,650.0,530.0,585.24,49216.83406524,26767
